fpath,policy,theta,workload,secs,opsPerTx,total_threads,comm_rate,abrt_rate,avg_ms,median_ms,p95_ms,p99_ms
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-A/wait_nowait,nowait,0.99,YCSB-A,30,3,20,6358.74,3432.63,2.135,2.083,2.683,3.184
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-A/wait_waitdie,waitdie,0.99,YCSB-A,30,3,20,7043.25,2423.69,2.198,2.113,2.9269999999999996,3.6635
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_threads_20/servers_2_clients_2/threads_20/theta_0.99/ops_3/workload_YCSB-A/wait_woundwait,woundwait,0.99,YCSB-A,30,3,20,5287.43,359.96,3.5275,2.601,9.1695,12.427
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-B/wait_nowait,nowait,0.4,YCSB-B,30,3,8,5554.59,0.0,1.791,1.756,2.197,2.584
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-B/wait_waitdie,waitdie,0.4,YCSB-B,30,3,10,5508.23,0.0,1.8119999999999998,1.774,2.2409999999999997,2.685
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-B/wait_woundwait,woundwait,0.4,YCSB-B,30,3,10,4275.44,0.0,2.325,2.2815000000000003,2.818,3.325
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-C/wait_nowait,nowait,0.4,YCSB-C,30,3,10,5562.2,0.0,1.783,1.749,2.1865,2.56
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-C/wait_waitdie,waitdie,0.4,YCSB-C,30,3,10,5484.57,0.0,1.8125,1.7734999999999999,2.2355,2.673
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-C/wait_woundwait,woundwait,0.4,YCSB-C,30,3,10,4320.43,0.0,2.3049999999999997,2.263,2.794,3.2935
/Users/u1592376/Desktop/CS6450 Final/cs6450-labs/final_logs/vary_theta_0.4/servers_2_clients_2/threads_10/theta_0.4/ops_3/workload_YCSB-A/wait_nowait,nowait,0.4,YCSB-A,30,3,10,5528.53,0.0,1.804,1.7675,2.2270000000000003,2.628
